license_plate,make,model,year,color
7ZIFY54,Fiat,500,2013,White
ONOHU2V,Ford,F-150,2005,Red
W29UVX9,Land Rover,Defender,2005,Brown
QQ3ZAZU,Chrysler,300,2013,Orange
O2T8JSD,Lincoln,Navigator,2014,Red
2M10LGR,Jaguar,XF,2014,Yellow
LHJR2I3,Mazda,CX-50,2012,Black
8PSK8B8,Cadillac,Escalade,2005,Yellow
L52ZTEX,Land Rover,Sport,2021,Red
Z70PZID,Jeep,Wrangler,2007,Yellow
R333OW4,Honda,Civic,2016,Silver
95THIFV,GMC,Sierra 1500,2009,Yellow
TYUWMRC,Ford,Edge,2011,Black
GHNKP95,Nissan,Patrol,2012,Blue
HTE9PZR,Lincoln,Corsair,2020,Brown
7W7SE8T,Ram,1500,2007,Grey
8HKB0A2,Jaguar,XJ,2010,Brown
VAFDQY3,Hyundai,i20,2020,Black
9888TJF,Mitsubishi,Lancer,2019,Yellow
ZNW5BTK,Jeep,Cherooke,2011,Black
R9NBX52,Infiniti,Q60,2020,White
DWKWIGA,Acura,Integra,2015,Red
8ASSDNI,Ford,Ranger,2021,Orange
TF83MHU,Audi,A3,2016,Silver
D15DZOF,Audi,A4,2007,Red
VF1RLMO,Acura,RDX,2021,Silver
B3TX8SL,Dodge,Challenger,2008,Yellow
PD46FXT,Volkswagen,Golf,2011,Brown
3FFMWKU,Honda,CR-V,2008,Yellow
0GMZRYA,Dodge,Charger,2012,Silver
HA1P0WL,Volvo,XC40,2022,Black
4NKTYZS,Kia,Telluride,2010,Silver
2MQH9LZ,BMW,3 Series,2012,Red
D1TR5LS,Toyota,Corolla,2004,Blue
LHQEBAL,Alfa Romeo,Stelvio,2020,Red
0E58VR2,Toyota,Camry,2018,Red
WYTSEJT,Lexus,NX,2018,Blue
EMVW7DC,Nissan,Altima,2012,Silver
3OB17ST,Audi,Q5,2010,Green
O9ZDYD2,Kia,Stinger GT,2020,Yellow
IVS39BG,Mercedes,C Class,2017,Grey
5OJ227T,Ford,Explorer,2017,Yellow
R6J3CF9,Cadillac,Escalade,2019,Blue
KUNLDZ7,Honda,Civic,2019,White
SE7LPC6,Lexus,RX,2009,Black
ZGIQAAK,Chrysler,200,2016,Red
SO0KYMQ,Cadillac,CTS,2012,Orange
Y91CPVQ,Lincoln,Navigator,2008,Blue
ZYCISU5,Jaguar,XK,2009,White
8CYNALN,Mini,Cooper S,2016,Brown
E74RCII,Ram,1500,2018,Red
LWR5HJ8,Kia,Soul,2016,Blue
7MGRC6R,Chrysler,300,2004,Grey
JAMTV4L,Mitsubishi,Outlander,2010,Green
L91C63D,Nissan,Altima,2018,White
WBOURMN,Nissan,Juke,2011,Yellow
21AY9J5,Ford,Taurus,2014,Brown
