policy_id,monthly_cost,deductible,license_plate
SYBHPX,206,1000,7ZIFY54
5GTF82,417,500,ONOHU2V
23XQPP,106,500,W29UVX9
NTLKY9,139,250,QQ3ZAZU
0YJSGO,461,500,O2T8JSD
M124DT,112,1000,2M10LGR
IKU233,130,100,LHJR2I3
G1BNVE,318,500,8PSK8B8
SAXVTX,277,500,L52ZTEX
HSY3QX,484,100,Z70PZID
8NUIN8,367,100,R333OW4
9FB343,191,1000,95THIFV
I1YQ4T,261,500,TYUWMRC
4VOIL7,223,100,GHNKP95
N6WC63,314,250,HTE9PZR
4FEK25,43,500,7W7SE8T
5C0UJ8,151,250,8HKB0A2
K9SOJ8,256,1000,VAFDQY3
4N1P4P,104,250,9888TJF
LQV58Q,101,250,ZNW5BTK
4X0300,389,500,R9NBX52
LFM4A0,469,500,DWKWIGA
KYSGD9,140,1000,8ASSDNI
RD4LTS,224,250,TF83MHU
O02A3E,85,1000,D15DZOF
QOIN1Q,439,500,VF1RLMO
ZNCIC1,281,250,B3TX8SL
H6VW2X,337,100,PD46FXT
ST6LDR,277,250,3FFMWKU
WRJBUN,145,250,0GMZRYA
GCYDLJ,328,100,HA1P0WL
52RJVO,366,100,4NKTYZS
B6K6WI,176,1000,2MQH9LZ
15YXPR,345,100,D1TR5LS
EC2KXS,319,500,LHQEBAL
J5UHH9,318,100,0E58VR2
ERWSB3,398,1000,WYTSEJT
JLPBLO,101,1000,EMVW7DC
BUW6VB,162,100,3OB17ST
CBC2EK,93,500,O9ZDYD2
QP11IG,214,100,IVS39BG
IXGE6I,284,1000,5OJ227T
Y23QEB,199,100,R6J3CF9
0IUXTX,154,100,KUNLDZ7
1XXG4N,126,250,SE7LPC6
XN2DP3,377,1000,ZGIQAAK
O9NOKC,439,500,SO0KYMQ
0ROR0E,480,100,Y91CPVQ
FEZPPE,55,250,ZYCISU5
VFWI0V,56,1000,8CYNALN
H8WHMQ,351,100,E74RCII
PCEJDW,184,1000,LWR5HJ8
5JMS9Y,499,250,7MGRC6R
TKL3P6,454,100,JAMTV4L
RQTBAW,285,500,L91C63D
Z2HJXC,377,100,WBOURMN
W1N42V,370,1000,21AY9J5
5E9YLA,336,500,ZAH75N6
DMPZPO,141,500,FGJBA4O
